Condition	Block	TrialInBlock	Target	Competitor_1	Competitor_2	Competitor_chosen	RTinSec	Session_number	
CY	1	1	1	1	2	2	1.450	1	
CY	1	2	1	1	3	2	1.318	1	
CY	1	3	1	1	4	2	1.539	1	
CY	1	4	1	1	5	2	2.020	1	
CY	1	5	1	1	6	1	1.978	1	
CY	1	6	1	2	3	1	2.387	1	
CY	1	7	1	2	4	2	1.535	1	
CY	1	8	1	2	5	1	1.623	1	
CY	1	9	1	2	6	1	1.060	1	
CY	1	10	1	3	4	1	1.932	1	
CY	1	11	1	3	5	1	1.084	1	
CY	1	12	1	3	6	1	1.404	1	
CY	1	13	1	4	5	1	2.663	1	
CY	1	14	1	4	6	1	2.003	1	
CY	1	15	1	5	6	1	1.455	1	
CY	1	16	2	1	2	1	2.311	1	
CY	1	17	2	1	3	2	1.223	1	
CY	1	18	2	1	4	2	1.132	1	
CY	1	19	2	1	5	2	2.782	1	
CY	1	20	2	1	6	2	1.014	1	
CY	1	21	2	2	3	1	4.195	1	
CY	1	22	2	2	4	2	1.120	1	
CY	1	23	2	2	5	2	1.091	1	
CY	1	24	2	2	6	2	1.512	1	
CY	1	25	2	3	4	1	2.192	1	
CY	1	26	2	3	5	2	1.850	1	
CY	1	27	2	3	6	2	0.855	1	
CY	1	28	2	4	5	1	2.381	1	
CY	1	29	2	4	6	1	2.175	1	
CY	1	30	2	5	6	2	3.626	1	
CY	1	31	3	1	2	1	3.499	1	
CY	1	32	3	1	3	2	0.915	1	
CY	1	33	3	1	4	2	1.051	1	
CY	1	34	3	1	5	1	0.836	1	
CY	1	35	3	1	6	1	2.225	1	
CY	1	36	3	2	3	2	1.748	1	
CY	1	37	3	2	4	1	0.727	1	
CY	1	38	3	2	5	2	1.241	1	
CY	1	39	3	2	6	1	0.870	1	
CY	1	40	3	3	4	1	1.712	1	
CY	1	41	3	3	5	1	1.685	1	
CY	1	42	3	3	6	1	1.280	1	
CY	1	43	3	4	5	1	1.364	1	
CY	1	44	3	4	6	1	1.423	1	
CY	1	45	3	5	6	1	3.356	1	
CY	1	46	4	1	2	2	1.579	1	
CY	1	47	4	1	3	2	1.314	1	
CY	1	48	4	1	4	2	1.270	1	
CY	1	49	4	1	5	2	1.175	1	
CY	1	50	4	1	6	2	1.424	1	
CY	1	51	4	2	3	1	2.721	1	
CY	1	52	4	2	4	1	1.042	1	
CY	1	53	4	2	5	1	1.538	1	
CY	1	54	4	2	6	1	1.303	1	
CY	1	55	4	3	4	2	2.203	1	
CY	1	56	4	3	5	1	2.106	1	
CY	1	57	4	3	6	1	1.181	1	
CY	1	58	4	4	5	2	3.185	1	
CY	1	59	4	4	6	1	1.955	1	
CY	1	60	4	5	6	2	2.204	1	
CB	1	61	1	1	2	2	1.250	1	
CB	1	62	1	1	3	2	1.295	1	
CB	1	63	1	1	4	2	2.077	1	
CB	1	64	1	1	5	2	1.197	1	
CB	1	65	1	1	6	1	0.936	1	
CB	1	66	1	2	3	2	1.790	1	
CB	1	67	1	2	4	2	0.922	1	
CB	1	68	1	2	5	1	0.929	1	
CB	1	69	1	2	6	1	1.132	1	
CB	1	70	1	3	4	2	1.133	1	
CB	1	71	1	3	5	2	1.482	1	
CB	1	72	1	3	6	2	1.211	1	
CB	1	73	1	4	5	2	1.638	1	
CB	1	74	1	4	6	1	0.929	1	
CB	1	75	1	5	6	1	1.860	1	
CB	1	76	2	1	2	2	1.986	1	
CB	1	77	2	1	3	2	0.820	1	
CB	1	78	2	1	4	2	1.076	1	
CB	1	79	2	1	5	2	1.977	1	
CB	1	80	2	1	6	1	1.831	1	
CB	1	81	2	2	3	2	1.461	1	
CB	1	82	2	2	4	2	1.109	1	
CB	1	83	2	2	5	2	1.817	1	
CB	1	84	2	2	6	1	1.853	1	
CB	1	85	2	3	4	2	1.466	1	
CB	1	86	2	3	5	2	1.017	1	
CB	1	87	2	3	6	1	1.096	1	
CB	1	88	2	4	5	1	1.555	1	
CB	1	89	2	4	6	1	1.340	1	
